sep=;
11:56; Saturday; October 05; 2024
Study name:Front_Impact

Beam Name  ;Element  ;End  ;Axial (N)  ;Shear1 (N)  ;Shear2 (N)  ;Moment 1 (N.m)  ;Moment 2 (N.m)  ;Torque (N.m)
Beam-1(Circuler tube 1X0.06(16_GAUGE)(2)[1])  ;  ;  ;  ;  ;  ;  ;  ;
  ;1  ;1  ;-0.28544  ;-0.074009  ;0  ;0  ;0.00054736  ;0
  ;  ;2  ;-0.043741  ;0.019144  ;0  ;0  ;-0.0023131  ;0
  ;2  ;1  ;0.043741  ;-0.019144  ;0  ;0  ;0.0023131  ;0
  ;  ;2  ;-0.37293  ;-0.03572  ;0  ;0  ;-0.0019989  ;0
  ;3  ;1  ;0.37293  ;0.03572  ;0  ;0  ;0.0019989  ;0
  ;  ;2  ;-0.70211  ;-0.090584  ;0  ;0  ;0.00039521  ;0
  ;4  ;1  ;0.70211  ;0.090584  ;0  ;0  ;-0.00039521  ;0
  ;  ;2  ;-1.0313  ;-0.14545  ;0  ;0  ;0.0048692  ;0
Beam-2(Circuler tube 1X0.08(14_GAUGE)(1)[8])  ;  ;  ;  ;  ;  ;  ;  ;
  ;5  ;1  ;210.04  ;46.288  ;39.543  ;-97.727  ;11.673  ;1.6286
  ;  ;2  ;-210.04  ;-46.288  ;-39.08  ;96.119  ;-9.7798  ;-1.6286
  ;6  ;1  ;210.04  ;46.288  ;39.08  ;-96.119  ;9.7798  ;1.6286
  ;  ;2  ;-210.04  ;-46.288  ;-38.617  ;94.529  ;-7.8862  ;-1.6286
  ;7  ;1  ;210.04  ;46.288  ;38.617  ;-94.529  ;7.8862  ;1.6285
  ;  ;2  ;-210.04  ;-46.288  ;-38.154  ;92.959  ;-5.9926  ;-1.6285
  ;8  ;1  ;210.04  ;46.288  ;38.154  ;-92.959  ;5.9926  ;1.6286
  ;  ;2  ;-210.04  ;-46.288  ;-37.691  ;91.408  ;-4.099  ;-1.6286
  ;9  ;1  ;210.04  ;46.288  ;37.691  ;-91.408  ;4.099  ;1.6286
  ;  ;2  ;-210.04  ;-46.288  ;-37.227  ;89.875  ;-2.2054  ;-1.6286
  ;10  ;1  ;210.04  ;46.288  ;37.227  ;-89.875  ;2.2054  ;1.6286
  ;  ;2  ;-210.04  ;-46.288  ;-36.764  ;88.362  ;-0.31181  ;-1.6286
