sep=;
11:57; Saturday; October 05; 2024
Study name:Front_Impact

Beam Name  ;Element  ;End  ;Axial (N/m^2)  ;Bending Dir1 (N/m^2)  ;Bending Dir2 (N/m^2)  ;Torsional (N/m^2)  ;Worst Case (N/m^2)
Beam-1(Circuler tube 1X0.06(16_GAUGE)(2)[1])  ;  ;  ;  ;  ;  ;  ;
  ;1  ;1  ;2,497  ;-0  ;849.93  ;-0  ;3,347
  ;  ;2  ;-382.64  ;0  ;3,591.7  ;0  ;3,974.3
  ;2  ;1  ;-382.64  ;-0  ;3,591.7  ;-0  ;3,974.3
  ;  ;2  ;-3,262.3  ;0  ;3,103.8  ;0  ;6,366.2
  ;3  ;1  ;-3,262.3  ;-0  ;3,103.8  ;-0  ;6,366.2
  ;  ;2  ;-6,142  ;0  ;-613.67  ;0  ;6,755.7
  ;4  ;1  ;-6,142  ;-0  ;-613.67  ;-0  ;6,755.7
  ;  ;2  ;-9,021.7  ;0  ;-7,560.8  ;0  ;16,582
Beam-2(Circuler tube 1X0.08(14_GAUGE)(1)[8])  ;  ;  ;  ;  ;  ;  ;
  ;5  ;1  ;-1.4286e+06  ;1.2244e+08  ;1.4625e+07  ;-1.0202e+06  ;1.2474e+08
  ;  ;2  ;-1.4286e+06  ;1.2042e+08  ;1.2253e+07  ;-1.0202e+06  ;1.2247e+08
  ;6  ;1  ;-1.4286e+06  ;1.2042e+08  ;1.2253e+07  ;-1.0202e+06  ;1.2247e+08
  ;  ;2  ;-1.4286e+06  ;1.1843e+08  ;9.8804e+06  ;-1.0202e+06  ;1.2027e+08
  ;7  ;1  ;-1.4286e+06  ;1.1843e+08  ;9.8804e+06  ;-1.0202e+06  ;1.2027e+08
  ;  ;2  ;-1.4286e+06  ;1.1647e+08  ;7.5079e+06  ;-1.0202e+06  ;1.1814e+08
  ;8  ;1  ;-1.4286e+06  ;1.1647e+08  ;7.5079e+06  ;-1.0202e+06  ;1.1814e+08
  ;  ;2  ;-1.4286e+06  ;1.1452e+08  ;5.1355e+06  ;-1.0202e+06  ;1.1607e+08
  ;9  ;1  ;-1.4286e+06  ;1.1452e+08  ;5.1355e+06  ;-1.0202e+06  ;1.1607e+08
  ;  ;2  ;-1.4286e+06  ;1.126e+08  ;2.7631e+06  ;-1.0202e+06  ;1.1406e+08
  ;10  ;1  ;-1.4286e+06  ;1.126e+08  ;2.7631e+06  ;-1.0202e+06  ;1.1406e+08
  ;  ;2  ;-1.4286e+06  ;1.1071e+08  ;3.9066e+05  ;-1.0202e+06  ;1.1214e+08
  ;11  ;1  ;-1.4286e+06  ;1.1071e+08  ;3.9066e+05  ;-1.0202e+06  ;1.1214e+08
  ;  ;2  ;-1.4286e+06  ;1.0883e+08  ;-1.9818e+06  ;-1.0202e+06  ;1.1028e+08
  ;12  ;1  ;-1.4286e+06  ;1.0883e+08  ;-1.9818e+06  ;-1.0202e+06  ;1.1028e+08
  ;  ;2  ;-1.4286e+06  ;1.0698e+08  ;-4.3542e+06  ;-1.0202e+06  ;1.085e+08
  ;13  ;1  ;-1.4286e+06  ;1.0698e+08  ;-4.3542e+06  ;-1.0202e+06  ;1.085e+08
  ;  ;2  ;-1.4286e+06  ;1.0516e+08  ;-6.7266e+06  ;-1.0202e+06  ;1.068e+08
  ;14  ;1  ;-1.4286e+06  ;1.0516e+08  ;-6.7266e+06  ;-1.0202e+06  ;1.068e+08
  ;  ;2  ;-1.4286e+06  ;1.0336e+08  ;-9.0991e+06  ;-1.0202e+06  ;1.0519e+08
  ;15  ;1  ;-1.4286e+06  ;1.0336e+08  ;-9.0991e+06  ;-1.0202e+06  ;1.0519e+08
  ;  ;2  ;-1.4286e+06  ;1.0158e+08  ;-1.1471e+07  ;-1.0202e+06  ;1.0366e+08
Beam-3(Circuler tube 1X0.08(14_GAUGE)(2)[8])  ;  ;  ;  ;  ;  ;  ;
  ;16  ;1  ;4.228e+07  ;2.243e+07  ;-1.5086e+08  ;3.5128e+06  ;1.948e+08
  ;  ;2  ;4.228e+07  ;2.322e+07  ;-1.4737e+08  ;3.5128e+06  ;1.9147e+08
  ;17  ;1  ;4.228e+07  ;2.3218e+07  ;-1.4737e+08  ;3.5129e+06  ;1.9147e+08
  ;  ;2  ;4.228e+07  ;2.4008e+07  ;-1.4391e+08  ;3.5129e+06  ;1.8818e+08
  ;18  ;1  ;4.228e+07  ;2.4007e+07  ;-1.4391e+08  ;3.513e+06  ;1.8818e+08
  ;  ;2  ;4.228e+07  ;2.4796e+07  ;-1.4048e+08  ;3.513e+06  ;1.8493e+08
  ;19  ;1  ;4.228e+07  ;2.4797e+07  ;-1.4047e+08  ;3.5128e+06  ;1.8493e+08
  ;  ;2  ;4.228e+07  ;2.5587e+07  ;-1.3706e+08  ;3.5128e+06  ;1.8171e+08
  ;20  ;1  ;4.228e+07  ;2.5587e+07  ;-1.3706e+08  ;3.5129e+06  ;1.8171e+08
  ;  ;2  ;4.228e+07  ;2.6376e+07  ;-1.3367e+08  ;3.5129e+06  ;1.7853e+08
  ;21  ;1  ;4.228e+07  ;2.6376e+07  ;-1.3367e+08  ;3.513e+06  ;1.7853e+08
  ;  ;2  ;4.228e+07  ;2.7165e+07  ;-1.3031e+08  ;3.513e+06  ;1.7539e+08
  ;22  ;1  ;4.228e+07  ;2.7165e+07  ;-1.3031e+08  ;3.5128e+06  ;1.7539e+08
  ;  ;2  ;4.228e+07  ;2.7955e+07  ;-1.2697e+08  ;3.5128e+06  ;1.7229e+08
  ;23  ;1  ;4.228e+07  ;2.7956e+07  ;-1.2697e+08  ;3.5129e+06  ;1.7229e+08
  ;  ;2  ;4.228e+07  ;2.8745e+07  ;-1.2366e+08  ;3.5129e+06  ;1.6923e+08
  ;24  ;1  ;4.228e+07  ;2.8745e+07  ;-1.2366e+08  ;3.5129e+06  ;1.6923e+08
  ;  ;2  ;4.228e+07  ;2.9535e+07  ;-1.2037e+08  ;3.5129e+06  ;1.6622e+08
  ;25  ;1  ;4.228e+07  ;2.9533e+07  ;-1.2037e+08  ;3.5128e+06  ;1.6622e+08
  ;  ;2  ;4.228e+07  ;3.0323e+07  ;-1.171e+08  ;3.5128e+06  ;1.6325e+08
  ;26  ;1  ;4.228e+07  ;3.0324e+07  ;-1.171e+08  ;3.5129e+06  ;1.6325e+08
  ;  ;2  ;4.228e+07  ;3.1114e+07  ;-1.1386e+08  ;3.5129e+06  ;1.6032e+08
  ;27  ;1  ;4.228e+07  ;3.1115e+07  ;-1.1386e+08  ;3.5129e+06  ;1.6032e+08
  ;  ;2  ;4.228e+07  ;3.1904e+07  ;-1.1065e+08  ;3.5129e+06  ;1.5743e+08
Beam-4(Circuler tube 1X0.08(14_GAUGE)(1)[5])  ;  ;  ;  ;  ;  ;  ;
  ;28  ;1  ;4.1934e+07  ;1.9527e+07  ;1.7861e+08  ;-3.5768e+05  ;2.2161e+08
  ;  ;2  ;4.1934e+07  ;1.9307e+07  ;1.6693e+08  ;-3.5768e+05  ;2.0998e+08
  ;29  ;1  ;4.0665e+07  ;1.9138e+07  ;1.6693e+08  ;1.324e+06  ;2.0869e+08
  ;  ;2  ;4.0665e+07  ;1.8917e+07  ;1.3205e+08  ;1.324e+06  ;1.7406e+08
  ;30  ;1  ;3.816e+07  ;1.817e+07  ;1.3205e+08  ;2.9464e+06  ;1.7145e+08
  ;  ;2  ;3.816e+07  ;1.795e+07  ;7.5012e+07  ;2.9464e+06  ;1.1529e+08
  ;31  ;1  ;3.4495e+07  ;1.6654e+07  ;7.5012e+07  ;4.4601e+06  ;1.1133e+08
  ;  ;2  ;3.4495e+07  ;1.6433e+07  ;-2.4365e+06  ;4.4601e+06  ;5.1108e+07
  ;32  ;1  ;2.9782e+07  ;1.4635e+07  ;-2.4365e+06  ;5.8191e+06  ;4.4618e+07
  ;  ;2  ;2.9781e+07  ;1.4414e+07  ;-9.7945e+07  ;5.8191e+06  ;1.2878e+08
  ;33  ;1  ;2.4163e+07  ;1.2174e+07  ;-9.7945e+07  ;6.9822e+06  ;1.2286e+08
  ;  ;2  ;2.4162e+07  ;1.1954e+07  ;-2.0861e+08  ;6.9822e+06  ;2.3311e+08
  ;34  ;1  ;2.0658e+07  ;1.0524e+07  ;-2.0861e+08  ;7.5358e+06  ;2.2953e+08
  ;  ;2  ;2.0658e+07  ;1.0496e+07  ;-2.2368e+08  ;7.5358e+06  ;2.4459e+08
  ;35  ;1  ;-1.1222e+07  ;-3.6233e+07  ;-1.8977e+08  ;1.0367e+07  ;2.0442e+08
  ;  ;2  ;-1.1223e+07  ;-2.3124e+07  ;-2.0523e+08  ;1.0367e+07  ;2.1776e+08
  ;36  ;1  ;-1.1972e+07  ;-2.6188e+07  ;-2.0523e+08  ;8.348e+06  ;2.1887e+08
  ;  ;2  ;-1.1973e+07  ;-1.1161e+07  ;-2.1687e+08  ;8.348e+06  ;2.2913e+08
  ;37  ;1  ;-1.242e+07  ;-1.3891e+07  ;-2.1687e+08  ;7.2521e+06  ;2.2973e+08
  ;  ;2  ;-1.2421e+07  ;1.1364e+06  ;-2.2165e+08  ;7.2521e+06  ;2.3407e+08
Beam-5(Circuler tube 1X0.06(16_GAUGE)(2)[4])  ;  ;  ;  ;  ;  ;  ;
