sep=;
11:59; Saturday; October 05; 2024
Study name:Rear_Impact

Beam Name  ;Element  ;End  ;Axial (N)  ;Shear1 (N)  ;Shear2 (N)  ;Moment 1 (N.m)  ;Moment 2 (N.m)  ;Torque (N.m)
Beam-1(Circuler tube 1X0.06(16_GAUGE)(2)[1])  ;  ;  ;  ;  ;  ;  ;  ;
  ;1  ;1  ;5,795.2  ;-3,631  ;-11,015  ;1,556.8  ;-275.95  ;-803.84
  ;  ;2  ;-5,795.6  ;3,630.9  ;11,015  ;-1,139.2  ;138.3  ;803.84
  ;2  ;1  ;5,795.6  ;-3,630.9  ;-11,015  ;1,139.2  ;-138.3  ;-803.83
  ;  ;2  ;-5,795.9  ;3,630.9  ;11,015  ;-721.65  ;0.6537  ;803.83
  ;3  ;1  ;5,795.9  ;-3,630.9  ;-11,015  ;721.65  ;-0.6537  ;-803.83
  ;  ;2  ;-5,796.2  ;3,630.8  ;11,015  ;-304.05  ;-136.99  ;803.83
  ;4  ;1  ;5,796.2  ;-3,630.8  ;-11,015  ;304.05  ;136.99  ;-803.83
  ;  ;2  ;-5,796.6  ;3,630.8  ;11,015  ;113.54  ;-274.64  ;803.83
Beam-2(Circuler tube 1X0.08(14_GAUGE)(1)[8])  ;  ;  ;  ;  ;  ;  ;  ;
  ;5  ;1  ;87.52  ;1,216.9  ;-634.1  ;-29.499  ;284.08  ;3.1824
  ;  ;2  ;-87.52  ;-1,216.9  ;634.56  ;55.449  ;-234.29  ;-3.1824
  ;6  ;1  ;87.52  ;1,216.9  ;-634.56  ;-55.449  ;234.29  ;3.1824
  ;  ;2  ;-87.52  ;-1,216.9  ;635.03  ;81.418  ;-184.51  ;-3.1824
  ;7  ;1  ;87.52  ;1,216.9  ;-635.03  ;-81.418  ;184.51  ;3.1824
  ;  ;2  ;-87.52  ;-1,216.9  ;635.49  ;107.41  ;-134.72  ;-3.1824
  ;8  ;1  ;87.52  ;1,216.9  ;-635.49  ;-107.41  ;134.72  ;3.1824
  ;  ;2  ;-87.52  ;-1,216.9  ;635.95  ;133.41  ;-84.941  ;-3.1824
  ;9  ;1  ;87.52  ;1,216.9  ;-635.95  ;-133.41  ;84.941  ;3.1824
  ;  ;2  ;-87.52  ;-1,216.9  ;636.42  ;159.44  ;-35.157  ;-3.1824
  ;10  ;1  ;87.52  ;1,216.9  ;-636.42  ;-159.44  ;35.157  ;3.1824
  ;  ;2  ;-87.52  ;-1,216.9  ;636.88  ;185.48  ;14.627  ;-3.1824
  ;11  ;1  ;87.52  ;1,216.9  ;-636.88  ;-185.48  ;-14.627  ;3.1824
  ;  ;2  ;-87.52  ;-1,216.9  ;637.34  ;211.55  ;64.41  ;-3.1824
  ;12  ;1  ;87.52  ;1,216.9  ;-637.34  ;-211.55  ;-64.41  ;3.1824
  ;  ;2  ;-87.52  ;-1,216.9  ;637.81  ;237.63  ;114.19  ;-3.1824
  ;13  ;1  ;87.52  ;1,216.9  ;-637.81  ;-237.63  ;-114.19  ;3.1825
  ;  ;2  ;-87.52  ;-1,216.9  ;638.27  ;263.73  ;163.98  ;-3.1825
  ;14  ;1  ;87.52  ;1,216.9  ;-638.27  ;-263.73  ;-163.98  ;3.1824
  ;  ;2  ;-87.52  ;-1,216.9  ;638.73  ;289.85  ;213.76  ;-3.1824
  ;15  ;1  ;87.52  ;1,216.9  ;-638.73  ;-289.85  ;-213.76  ;3.1824
  ;  ;2  ;-87.52  ;-1,216.9  ;639.2  ;315.99  ;263.55  ;-3.1824
Beam-3(Circuler tube 1X0.08(14_GAUGE)(2)[8])  ;  ;  ;  ;  ;  ;  ;  ;
  ;16  ;1  ;-12,741  ;-686.94  ;153.34  ;72.217  ;-551.97  ;7.8985
  ;  ;2  ;12,741  ;686.47  ;-153.34  ;-78.606  ;523.35  ;-7.8985
  ;17  ;1  ;-12,741  ;-686.47  ;153.35  ;78.61  ;-523.35  ;7.8978
  ;  ;2  ;12,741  ;686  ;-153.35  ;-84.999  ;494.76  ;-7.8978
  ;18  ;1  ;-12,741  ;-686  ;153.37  ;85.003  ;-494.76  ;7.8971
  ;  ;2  ;12,741  ;685.52  ;-153.37  ;-91.393  ;466.19  ;-7.8971
  ;19  ;1  ;-12,741  ;-685.52  ;153.34  ;91.388  ;-466.19  ;7.8984
  ;  ;2  ;12,741  ;685.05  ;-153.34  ;-97.777  ;437.64  ;-7.8984
  ;20  ;1  ;-12,741  ;-685.05  ;153.35  ;97.778  ;-437.64  ;7.8978
  ;  ;2  ;12,741  ;684.58  ;-153.35  ;-104.17  ;409.11  ;-7.8978
  ;21  ;1  ;-12,741  ;-684.58  ;153.37  ;104.17  ;-409.11  ;7.8972
  ;  ;2  ;12,741  ;684.11  ;-153.37  ;-110.56  ;380.59  ;-7.8972
  ;22  ;1  ;-12,741  ;-684.11  ;153.33  ;110.56  ;-380.59  ;7.8983
  ;  ;2  ;12,741  ;683.64  ;-153.33  ;-116.95  ;352.1  ;-7.8983
  ;23  ;1  ;-12,741  ;-683.64  ;153.35  ;116.95  ;-352.1  ;7.8978
  ;  ;2  ;12,741  ;683.17  ;-153.35  ;-123.34  ;323.63  ;-7.8978
  ;24  ;1  ;-12,741  ;-683.16  ;153.37  ;123.33  ;-323.63  ;7.8973
  ;  ;2  ;12,741  ;682.69  ;-153.37  ;-129.72  ;295.17  ;-7.8973
