sep=;
11:59; Saturday; October 05; 2024
Study name:Rear_Impact

Beam Name  ;Element  ;End  ;Axial (N/m^2)  ;Bending Dir1 (N/m^2)  ;Bending Dir2 (N/m^2)  ;Torsional (N/m^2)  ;Worst Case (N/m^2)
Beam-1(Circuler tube 1X0.06(16_GAUGE)(2)[1])  ;  ;  ;  ;  ;  ;  ;
  ;1  ;1  ;-5.0696e+07  ;-2.4174e+09  ;-4.2849e+08  ;6.2409e+08  ;2.5058e+09
  ;  ;2  ;-5.0699e+07  ;-1.769e+09  ;-2.1475e+08  ;6.2409e+08  ;1.8327e+09
  ;2  ;1  ;-5.0699e+07  ;-1.769e+09  ;-2.1475e+08  ;6.2409e+08  ;1.8327e+09
  ;  ;2  ;-5.0702e+07  ;-1.1206e+09  ;-1.0151e+06  ;6.2409e+08  ;1.1713e+09
  ;3  ;1  ;-5.0702e+07  ;-1.1206e+09  ;-1.0151e+06  ;6.2409e+08  ;1.1713e+09
  ;  ;2  ;-5.0705e+07  ;-4.7212e+08  ;2.1272e+08  ;6.2409e+08  ;5.6854e+08
  ;4  ;1  ;-5.0705e+07  ;-4.7212e+08  ;2.1272e+08  ;6.2409e+08  ;5.6854e+08
  ;  ;2  ;-5.0708e+07  ;1.7631e+08  ;4.2645e+08  ;6.2409e+08  ;5.1217e+08
Beam-2(Circuler tube 1X0.08(14_GAUGE)(1)[8])  ;  ;  ;  ;  ;  ;  ;
  ;5  ;1  ;-5.9527e+05  ;3.6959e+07  ;3.5591e+08  ;-1.9936e+06  ;3.5842e+08
  ;  ;2  ;-5.9527e+05  ;6.9471e+07  ;2.9354e+08  ;-1.9936e+06  ;3.0224e+08
  ;6  ;1  ;-5.9527e+05  ;6.9471e+07  ;2.9354e+08  ;-1.9936e+06  ;3.0224e+08
  ;  ;2  ;-5.9527e+05  ;1.0201e+08  ;2.3117e+08  ;-1.9936e+06  ;2.5327e+08
  ;7  ;1  ;-5.9527e+05  ;1.0201e+08  ;2.3117e+08  ;-1.9936e+06  ;2.5327e+08
  ;  ;2  ;-5.9527e+05  ;1.3457e+08  ;1.6879e+08  ;-1.9936e+06  ;2.1646e+08
  ;8  ;1  ;-5.9527e+05  ;1.3457e+08  ;1.6879e+08  ;-1.9936e+06  ;2.1646e+08
  ;  ;2  ;-5.9527e+05  ;1.6715e+08  ;1.0642e+08  ;-1.9936e+06  ;1.9875e+08
  ;9  ;1  ;-5.9527e+05  ;1.6715e+08  ;1.0642e+08  ;-1.9936e+06  ;1.9875e+08
  ;  ;2  ;-5.9527e+05  ;1.9976e+08  ;4.4047e+07  ;-1.9936e+06  ;2.0515e+08
  ;10  ;1  ;-5.9527e+05  ;1.9976e+08  ;4.4047e+07  ;-1.9936e+06  ;2.0515e+08
  ;  ;2  ;-5.9527e+05  ;2.3239e+08  ;-1.8325e+07  ;-1.9936e+06  ;2.337e+08
  ;11  ;1  ;-5.9527e+05  ;2.3239e+08  ;-1.8325e+07  ;-1.9936e+06  ;2.337e+08
  ;  ;2  ;-5.9527e+05  ;2.6504e+08  ;-8.0698e+07  ;-1.9936e+06  ;2.7765e+08
  ;12  ;1  ;-5.9527e+05  ;2.6504e+08  ;-8.0698e+07  ;-1.9936e+06  ;2.7765e+08
  ;  ;2  ;-5.9527e+05  ;2.9772e+08  ;-1.4307e+08  ;-1.9936e+06  ;3.3091e+08
  ;13  ;1  ;-5.9527e+05  ;2.9772e+08  ;-1.4307e+08  ;-1.9936e+06  ;3.3091e+08
  ;  ;2  ;-5.9527e+05  ;3.3042e+08  ;-2.0544e+08  ;-1.9936e+06  ;3.8968e+08
  ;14  ;1  ;-5.9527e+05  ;3.3042e+08  ;-2.0544e+08  ;-1.9935e+06  ;3.8968e+08
  ;  ;2  ;-5.9527e+05  ;3.6315e+08  ;-2.6782e+08  ;-1.9935e+06  ;4.5182e+08
  ;15  ;1  ;-5.9527e+05  ;3.6315e+08  ;-2.6782e+08  ;-1.9936e+06  ;4.5182e+08
  ;  ;2  ;-5.9527e+05  ;3.9589e+08  ;-3.3019e+08  ;-1.9936e+06  ;5.1611e+08
Beam-3(Circuler tube 1X0.08(14_GAUGE)(2)[8])  ;  ;  ;  ;  ;  ;  ;
  ;16  ;1  ;8.6655e+07  ;-9.0478e+07  ;-6.9154e+08  ;-4.9479e+06  ;7.8409e+08
  ;  ;2  ;8.6655e+07  ;-9.8483e+07  ;-6.557e+08  ;-4.9479e+06  ;7.497e+08
  ;17  ;1  ;8.6655e+07  ;-9.8488e+07  ;-6.5569e+08  ;-4.9474e+06  ;7.497e+08
  ;  ;2  ;8.6655e+07  ;-1.0649e+08  ;-6.1987e+08  ;-4.9474e+06  ;7.1561e+08
  ;18  ;1  ;8.6655e+07  ;-1.065e+08  ;-6.1987e+08  ;-4.947e+06  ;7.1561e+08
  ;  ;2  ;8.6655e+07  ;-1.145e+08  ;-5.8408e+08  ;-4.947e+06  ;6.8185e+08
  ;19  ;1  ;8.6655e+07  ;-1.145e+08  ;-5.8408e+08  ;-4.9478e+06  ;6.8185e+08
  ;  ;2  ;8.6655e+07  ;-1.225e+08  ;-5.483e+08  ;-4.9478e+06  ;6.4848e+08
  ;20  ;1  ;8.6655e+07  ;-1.225e+08  ;-5.483e+08  ;-4.9474e+06  ;6.4848e+08
  ;  ;2  ;8.6655e+07  ;-1.3051e+08  ;-5.1256e+08  ;-4.9474e+06  ;6.1557e+08
  ;21  ;1  ;8.6655e+07  ;-1.3051e+08  ;-5.1256e+08  ;-4.9471e+06  ;6.1557e+08
  ;  ;2  ;8.6655e+07  ;-1.3852e+08  ;-4.7683e+08  ;-4.9471e+06  ;5.832e+08
  ;22  ;1  ;8.6655e+07  ;-1.3852e+08  ;-4.7683e+08  ;-4.9477e+06  ;5.832e+08
  ;  ;2  ;8.6655e+07  ;-1.4652e+08  ;-4.4114e+08  ;-4.9477e+06  ;5.5149e+08
  ;23  ;1  ;8.6655e+07  ;-1.4652e+08  ;-4.4114e+08  ;-4.9474e+06  ;5.5149e+08
  ;  ;2  ;8.6655e+07  ;-1.5452e+08  ;-4.0546e+08  ;-4.9474e+06  ;5.2056e+08
  ;24  ;1  ;8.6655e+07  ;-1.5452e+08  ;-4.0546e+08  ;-4.9472e+06  ;5.2056e+08
  ;  ;2  ;8.6655e+07  ;-1.6253e+08  ;-3.6981e+08  ;-4.9472e+06  ;4.9061e+08
  ;25  ;1  ;8.6655e+07  ;-1.6253e+08  ;-3.6981e+08  ;-4.9477e+06  ;4.9061e+08
  ;  ;2  ;8.6655e+07  ;-1.7054e+08  ;-3.3419e+08  ;-4.9477e+06  ;4.6184e+08
  ;26  ;1  ;8.6655e+07  ;-1.7053e+08  ;-3.3419e+08  ;-4.9474e+06  ;4.6184e+08
  ;  ;2  ;8.6655e+07  ;-1.7854e+08  ;-2.9859e+08  ;-4.9474e+06  ;4.3455e+08
  ;27  ;1  ;8.6655e+07  ;-1.7854e+08  ;-2.9859e+08  ;-4.9472e+06  ;4.3455e+08
  ;  ;2  ;8.6655e+07  ;-1.8654e+08  ;-2.6302e+08  ;-4.9472e+06  ;4.0911e+08
Beam-4(Circuler tube 1X0.08(14_GAUGE)(1)[5])  ;  ;  ;  ;  ;  ;  ;
  ;28  ;1  ;8.8288e+07  ;-7.4113e+07  ;2.8306e+08  ;-5.4044e+06  ;3.8089e+08
  ;  ;2  ;8.8288e+07  ;-8.6872e+07  ;2.4938e+08  ;-5.4044e+06  ;3.5236e+08
  ;29  ;1  ;8.5125e+07  ;-8.3675e+07  ;2.4938e+08  ;-1.2865e+07  ;3.4817e+08
