sep=;
12:00; Saturday; October 05; 2024
Study name:Side_Impact

Beam Name  ;Element  ;End  ;Axial (N)  ;Shear1 (N)  ;Shear2 (N)  ;Moment 1 (N.m)  ;Moment 2 (N.m)  ;Torque (N.m)
Beam-1(Circuler tube 1X0.06(16_GAUGE)(2)[1])  ;  ;  ;  ;  ;  ;  ;  ;
  ;1  ;1  ;-0.65828  ;-0.11157  ;0  ;0  ;-0.0028575  ;0
  ;  ;2  ;0.32909  ;0.056709  ;0  ;0  ;-0.00033226  ;0
  ;2  ;1  ;-0.3291  ;-0.056709  ;0  ;0  ;0.00033226  ;0
  ;  ;2  ;-9.0745e-05  ;0.0018446  ;0  ;0  ;-0.0014421  ;0
  ;3  ;1  ;9.074e-05  ;-0.0018446  ;0  ;0  ;0.0014421  ;0
  ;  ;2  ;-0.32928  ;-0.05302  ;0  ;0  ;-0.00047211  ;0
  ;4  ;1  ;0.32928  ;0.05302  ;0  ;0  ;0.00047211  ;0
  ;  ;2  ;-0.65846  ;-0.10788  ;0  ;0  ;0.0025778  ;0
Beam-2(Circuler tube 1X0.08(14_GAUGE)(1)[8])  ;  ;  ;  ;  ;  ;  ;  ;
  ;5  ;1  ;60,487  ;826.84  ;283.02  ;-103.19  ;303.43  ;1.3775
  ;  ;2  ;-60,487  ;-826.84  ;-282.56  ;91.625  ;-269.6  ;-1.3775
  ;6  ;1  ;60,487  ;826.85  ;282.56  ;-91.625  ;269.6  ;1.3775
  ;  ;2  ;-60,487  ;-826.85  ;-282.1  ;80.075  ;-235.78  ;-1.3775
  ;7  ;1  ;60,487  ;826.83  ;282.1  ;-80.075  ;235.78  ;1.3775
  ;  ;2  ;-60,487  ;-826.83  ;-281.63  ;68.544  ;-201.95  ;-1.3775
  ;8  ;1  ;60,487  ;826.84  ;281.63  ;-68.544  ;201.95  ;1.3775
  ;  ;2  ;-60,487  ;-826.84  ;-281.17  ;57.032  ;-168.13  ;-1.3775
  ;9  ;1  ;60,487  ;826.84  ;281.17  ;-57.032  ;168.13  ;1.3775
  ;  ;2  ;-60,487  ;-826.84  ;-280.71  ;45.539  ;-134.3  ;-1.3775
