sep=;
12:00; Saturday; October 05; 2024
Study name:Side_Impact

Beam Name  ;Element  ;End  ;Axial (N/m^2)  ;Bending Dir1 (N/m^2)  ;Bending Dir2 (N/m^2)  ;Torsional (N/m^2)  ;Worst Case (N/m^2)
Beam-1(Circuler tube 1X0.06(16_GAUGE)(2)[1])  ;  ;  ;  ;  ;  ;  ;
  ;1  ;1  ;5,758.6  ;-0  ;-4,437.1  ;-0  ;10,196
  ;  ;2  ;2,878.9  ;0  ;515.92  ;0  ;3,394.8
  ;2  ;1  ;2,878.9  ;-0  ;515.92  ;-0  ;3,394.8
  ;  ;2  ;-0.79383  ;0  ;2,239.3  ;0  ;2,240.1
  ;3  ;1  ;-0.79379  ;-0  ;2,239.3  ;-0  ;2,240.1
  ;  ;2  ;-2,880.5  ;0  ;733.08  ;0  ;3,613.6
  ;4  ;1  ;-2,880.5  ;-0  ;733.08  ;-0  ;3,613.6
  ;  ;2  ;-5,760.2  ;0  ;-4,002.8  ;0  ;9,762.9
Beam-2(Circuler tube 1X0.08(14_GAUGE)(1)[8])  ;  ;  ;  ;  ;  ;  ;
  ;5  ;1  ;-4.114e+08  ;1.2929e+08  ;3.8015e+08  ;-8.6293e+05  ;8.1294e+08
  ;  ;2  ;-4.114e+08  ;1.1479e+08  ;3.3777e+08  ;-8.6293e+05  ;7.6815e+08
  ;6  ;1  ;-4.114e+08  ;1.1479e+08  ;3.3777e+08  ;-8.6294e+05  ;7.6815e+08
  ;  ;2  ;-4.114e+08  ;1.0032e+08  ;2.954e+08  ;-8.6294e+05  ;7.2337e+08
  ;7  ;1  ;-4.114e+08  ;1.0032e+08  ;2.954e+08  ;-8.6292e+05  ;7.2337e+08
  ;  ;2  ;-4.114e+08  ;8.5877e+07  ;2.5302e+08  ;-8.6292e+05  ;6.786e+08
  ;8  ;1  ;-4.114e+08  ;8.5877e+07  ;2.5302e+08  ;-8.6293e+05  ;6.786e+08
  ;  ;2  ;-4.114e+08  ;7.1454e+07  ;2.1064e+08  ;-8.6293e+05  ;6.3383e+08
  ;9  ;1  ;-4.114e+08  ;7.1454e+07  ;2.1064e+08  ;-8.6293e+05  ;6.3383e+08
  ;  ;2  ;-4.114e+08  ;5.7055e+07  ;1.6826e+08  ;-8.6293e+05  ;5.8908e+08
  ;10  ;1  ;-4.114e+08  ;5.7055e+07  ;1.6826e+08  ;-8.6293e+05  ;5.8908e+08
  ;  ;2  ;-4.114e+08  ;4.268e+07  ;1.2588e+08  ;-8.6293e+05  ;5.4433e+08
  ;11  ;1  ;-4.114e+08  ;4.268e+07  ;1.2588e+08  ;-8.6293e+05  ;5.4433e+08
  ;  ;2  ;-4.114e+08  ;2.8328e+07  ;8.3504e+07  ;-8.6293e+05  ;4.9958e+08
  ;12  ;1  ;-4.114e+08  ;2.8328e+07  ;8.3504e+07  ;-8.6293e+05  ;4.9958e+08
  ;  ;2  ;-4.114e+08  ;1.4e+07  ;4.1126e+07  ;-8.6293e+05  ;4.5485e+08
  ;13  ;1  ;-4.114e+08  ;1.4e+07  ;4.1126e+07  ;-8.6293e+05  ;4.5485e+08
  ;  ;2  ;-4.114e+08  ;-3.0438e+05  ;-1.2529e+06  ;-8.6293e+05  ;4.1269e+08
  ;14  ;1  ;-4.114e+08  ;-3.0438e+05  ;-1.2529e+06  ;-8.6293e+05  ;4.1269e+08
  ;  ;2  ;-4.114e+08  ;-1.4585e+07  ;-4.3631e+07  ;-8.6293e+05  ;4.5741e+08
  ;15  ;1  ;-4.114e+08  ;-1.4585e+07  ;-4.3631e+07  ;-8.6293e+05  ;4.5741e+08
  ;  ;2  ;-4.114e+08  ;-2.8842e+07  ;-8.6009e+07  ;-8.6293e+05  ;5.0212e+08
Beam-3(Circuler tube 1X0.08(14_GAUGE)(2)[8])  ;  ;  ;  ;  ;  ;  ;
  ;16  ;1  ;-2.1969e+08  ;-1.1405e+09  ;1.0106e+08  ;-2.1112e+07  ;1.3646e+09
